x1,x2,t
26,22,1
0,13,0
14,45,1
38,30,1
3,8,0
27,7,0
1,8,0
4,3,0
19,45,1
26,48,1
50,21,1
5,2,0
29,5,0
19,19,1
8,44,1
41,2,0
31,19,1
20,20,1
18,4,0
33,36,1
23,41,1
47,28,1
6,35,0
16,28,1
40,41,1
34,35,1
10,46,1
41,36,1
8,50,1
46,3,0
11,47,1
44,23,1
18,30,1
42,35,1
23,7,0
12,40,1
34,29,1
37,48,1
11,5,0
44,45,1
48,40,1
14,18,1
12,6,0
36,27,1
10,18,0
25,26,1
13,7,0
37,26,1
12,28,1
1,1,0
15,49,1
39,20,1
28,31,1
19,50,1
2,6,0
50,12,1
3,23,0
30,29,1
26,37,1
32,48,1
22,39,1
5,21,0
20,19,1
42,0,0
16,19,1
6,26,0
41,45,1
31,38,1
11,36,1
16,41,1
45,15,1
34,20,1
43,35,1
8,31,0
13,38,1
44,36,1
9,30,0
14,21,1
36,2,0
10,29,0
37,3,0
26,24,1
50,45,1
38,8,0
12,27,1
39,13,1
13,26,1
2,1,0
26,2,0
50,7,1
24,46,1
48,27,1
0,49,0
3,28,0
27,11,1
49,26,1
21,49,1
4,31,0
19,33,1
26,44,1
7,2,0
31,1,0
5,30,0
20,26,1
42,11,1
40,23,1
21,27,1
28,42,1
41,22,1
31,47,1
46,13,1
20,0,0
35,40,1
42,21,1
21,5,0
36,35,1
8,6,0
22,10,0
9,7,0
33,2,0
45,34,1
34,9,0
15,25,1
49,39,1
37,12,1
11,9,0
35,20,1
24,15,1
12,18,1
36,23,1
1,19,0
15,7,0
13,19,1
37,22,1
26,13,1
0,8,0
48,18,1
25,48,1
30,15,1
2,50,1
31,14,1
5,7,0
3,43,0
1,47,0
16,1,0
47,43,1
30,17,1
21,36,1
6,20,0
17,12,1
8,39,0
31,20,1
3,49,1
9,38,0
23,18,1
6,46,1
47,17,1
36,42,1
45,1,0
7,47,1
44,26,1
9,8,0
33,27,1
38,32,1
45,27,1
36,48,1
8,19,0
39,37,1
11,14,1
44,48,1
15,12,1
13,12,1
37,31,1
38,28,1
3,10,0
4,13,0
50,19,1
24,34,1
21,45,1
4,43,0
19,21,1
2,39,0
8,46,1
5,42,0
21,23,1
4,49,1
10,44,1
17,31,1
7,36,0
22,4,0
11,33,1
44,17,1
45,20,1
17,49,1
8,26,0
35,2,0
9,27,0
24,29,1
48,42,1
36,5,0
49,43,1
13,5,0
0,6,0
24,3,0
12,30,1
1,7,0
25,2,0
39,22,1
13,31,1
28,25,1
2,4,0
50,10,1
24,41,1
25,36,1
26,35,1
32,50,1
22,37,1
40,18,1
30,37,1
43,15,1
22,31,1
44,8,1
18,23,1
33,21,1
6,50,1
12,33,1
36,38,1
13,36,1
9,28,0
48,33,1
45,39,1
49,44,1
39,49,1
15,18,1
0,29,0
24,10,0
12,21,1
1,24,0
49,6,1
39,15,1
13,24,1
28,16,1
26,0,0
3,30,0
27,13,1
19,35,1
26,42,1
46,41,1
29,15,1
3,36,0
20,36,1
42,9,1
16,12,1
6,19,0
30,44,1
4,39,0
19,9,0
47,44,1
8,34,0
31,41,1
46,19,1
20,2,0
44,7,1
29,41,1
42,19,1
23,23,1
47,10,1
45,6,1
34,45,1
17,35,1
8,8,0
37,32,1
35,48,1
9,5,0
45,32,1
36,11,1
34,7,0
39,46,1
11,11,1
35,22,1
0,20,0
24,17,1
14,4,0
38,1,0
12,12,1
37,20,1
0,10,0
1,11,0
49,17,1
30,13,1
4,0,0
19,40,1
0,32,0
5,5,0
20,35,1
3,45,0
16,3,0
6,10,0
28,35,1
32,38,1
31,22,1
9,36,0
21,12,1
10,35,0
17,36,1
41,39,1
11,42,1
9,14,0
36,50,1
45,25,1
10,13,0
39,39,1
13,48,1
35,31,1
24,24,1
14,15,1
12,11,1
25,21,1
49,48,1
13,10,0
37,29,1
26,18,1
48,11,1
14,49,1
1,12,0
28,28,1
24,36,1
3,18,0
1,38,0
25,33,1
21,43,1
19,23,1
22,32,1
5,40,0
46,29,1
42,5,0
16,16,1
47,24,1
21,21,1
40,45,1
7,38,0
31,37,1
5,50,1
44,19,1
18,26,1
23,3,0
12,36,1
45,18,1
34,25,1
43,46,1
8,28,0
13,41,1
35,4,0
44,41,1
9,25,0
14,22,1
12,2,0
45,44,1
10,30,0
25,30,1
49,41,1
13,3,0
11,31,1
26,29,1
0,24,0
24,5,0
48,2,0
38,21,1
12,24,1
1,5,0
49,3,1
39,16,1
28,27,1
26,7,0
50,8,1
48,24,1
29,26,1
3,27,0
25,42,1
40,14,1
30,1,0
4,28,0
19,28,1
46,36,1
5,17,0
20,31,1
42,12,1
33,49,1
21,30,1
30,43,1
19,2,0
7,31,0
41,17,1
46,14,1
31,34,1
29,46,1
20,5,0
42,22,1
6,48,1
47,15,1
45,11,1
34,16,1
32,0,0
13,34,1
9,2,0
33,13,1
48,35,1
45,37,1
10,25,0
15,28,1
35,19,1
50,41,1
24,12,1
14,3,0
38,12,1
0,31,0
36,20,1
1,30,0
49,4,1
39,9,0
2,29,0
24,50,1
29,19,1
4,27,0
26,40,1
0,43,0
31,13,1
3,38,0
27,37,1
1,42,0
16,14,1
47,46,1
40,27,1
4,33,0
28,38,1
19,11,1
43,6,0
34,49,1
22,20,1
46,17,1
29,39,1
35,44,1
44,1,0
33,44,1
45,4,0
17,33,1
8,10,0
37,46,1
44,31,1
18,38,1
9,11,0
23,15,1
45,30,1
43,50,1
8,16,0
39,40,1
37,8,0
11,13,1
14,10,0
1,23,0
39,6,0
13,15,1
48,22,1
14,44,1
49,23,1
4,2,0
28,7,0
2,14,0
50,20,1
5,3,0
3,47,0
1,35,0
16,5,0
21,32,1
19,16,1
2,40,0
8,43,1
7,13,0
5,45,0
18,7,0
33,37,1
23,46,1
16,27,1
21,10,0
10,33,0
43,21,1
7,43,0
32,30,1
41,37,1
11,44,1
44,22,1
9,12,0
33,31,1
42,34,1
16,49,1
45,23,1
39,33,1
13,46,1
11,2,0
35,1,0
9,22,0
14,13,1
12,5,0
36,26,1
25,27,1
13,8,0
0,3,0
27,29,1
1,2,0
2,9,0
3,20,0
1,36,0
25,39,1
6,3,0
30,28,1
4,23,0
26,36,1
7,10,0
31,25,1
5,22,0
20,18,1
27,41,1
6,37,0
30,38,1
43,10,1
32,21,1
41,46,1
46,5,1
11,37,1
44,13,1
35,32,1
33,16,1
18,24,1
7,32,0
47,0,0
31,39,1
5,48,1
32,11,1
44,43,1
9,31,0
14,20,1
45,42,1
37,4,0
26,27,1
0,26,0
41,27,1
48,4,1
38,11,1
24,7,0
27,18,1
1,27,0
25,6,0
49,1,0
13,27,1
28,21,1
24,45,1
29,24,1
25,40,1
21,50,1
