x,y,type
29,40,2
46,19,2
25,47,2
31,37,2
34,8,1
42,9,2
0,14,1
13,47,2
0,40,1
17,21,2
26,32,2
31,50,2
26,45,2
30,11,2
6,25,1
33,39,2
22,26,2
13,26,2
48,14,2
28,10,1
37,5,1
8,36,1
41,28,2
10,33,1
8,38,1
42,7,1
13,48,2
10,40,1
9,23,1
35,4,1
1,47,1
48,21,2
49,13,2
23,39,2
16,43,2
38,31,2
45,3,1
3,25,1
14,38,2
39,6,1
16,28,2
1,28,1
23,4,1
16,0,1
16,11,2
6,45,2
18,9,1
13,46,2
26,22,2
1,27,1
29,14,2
49,10,2
18,40,2
41,50,2
47,8,2
38,26,2
35,23,2
9,44,2
29,36,2
38,25,2
43,21,2
35,20,2
31,12,2
50,9,2
34,19,2
3,11,1
50,30,2
1,34,1
45,12,2
46,37,2
16,0,1
6,42,1
1,25,1
49,30,2
4,46,1
6,47,2
12,45,2
9,19,1
46,48,2
12,9,1
13,38,2
28,9,1
0,46,1
26,49,2
42,0,1
30,29,2
15,7,1
0,14,1
3,48,2
19,44,2
29,25,2
8,6,1
8,47,2
15,38,2
23,3,1
14,27,2
12,42,2
31,28,2
4,48,2
32,13,2
18,1,1
26,11,2
25,3,1
20,50,2
45,18,2
42,20,2
46,24,2
34,22,2
12,17,2
26,13,2
19,48,2
45,33,2
47,26,2
12,8,1
49,28,2
4,5,1
17,22,2
46,27,2
29,31,2
48,47,2
39,35,2
28,4,1
40,43,2
40,1,1
24,18,2
30,38,2
21,35,2
33,11,2
38,11,2
38,32,2
49,28,2
31,41,2
20,8,1
50,36,2
8,1,1
10,21,1
43,16,2
19,20,2
1,40,1
15,16,2
49,47,2
17,2,1
43,11,2
8,6,1
3,11,1
20,31,2
25,30,2
42,30,2
39,12,2
26,32,2
26,11,2
34,48,2
27,9,1
9,15,1
41,26,2
45,14,2
23,11,2
24,23,2
23,12,2
30,4,1
41,39,2
42,35,2
46,27,2
25,18,2
7,19,1
6,40,1
39,15,2
49,26,2
1,34,1
23,25,2
39,13,2
11,19,2
0,5,1
30,49,2
50,2,2
47,21,2
4,1,1
41,10,2
15,23,2
39,39,2
19,31,2
12,1,1
36,8,1
11,6,1
22,2,1
11,6,1
27,15,2
12,11,2
17,8,1
17,43,2
20,27,2
31,33,2
19,38,2
11,21,2
8,44,2
9,25,1
22,33,2
44,15,2
41,29,2
8,42,1
30,42,2
50,32,2
24,8,1
49,11,2
47,22,2
1,9,1
16,4,1
7,11,1
3,45,1
30,0,1
24,37,2
13,44,2
17,42,2
37,10,1
17,33,2
38,3,1
50,26,2
8,30,1
27,7,1
50,38,2
5,45,1
47,14,2
24,20,2
12,8,1
0,38,1
11,15,2
4,32,1
20,22,2
17,33,2
14,50,2
37,8,1
34,10,1
2,23,1
17,6,1
18,40,2
12,43,2
35,22,2
20,27,2
40,45,2
43,17,2
23,43,2
5,50,2
24,27,2
49,2,2
5,7,1
12,24,2
3,29,1
8,32,1
21,24,2
10,15,1
14,29,2
25,3,1
31,12,2
43,24,2
9,35,1
29,23,2
30,4,1
16,30,2
0,31,1
43,35,2
22,11,2
11,7,1
0,32,1
20,33,2
48,42,2
16,44,2
46,48,2
34,23,2
2,9,1
13,3,1
17,5,1
24,43,2
33,2,1
5,49,2
48,46,2
37,16,2
43,28,2
15,43,2
19,28,2
5,45,1
8,35,1
9,22,1
40,3,1
38,14,2
45,31,2
35,13,2
3,29,1
45,38,2
13,24,2
33,41,2
11,28,2
15,4,1
26,5,1
46,37,2
16,36,2
5,13,1
16,28,2
6,48,2
5,40,1
4,36,1
6,23,1
21,10,1
6,29,1
4,6,1
34,7,1
24,18,2
15,25,2
44,44,2
28,29,2
1,10,1
31,13,2
30,33,2
29,12,2
30,3,1
0,6,1
48,9,2
22,16,2
6,33,1
35,45,2
33,28,2
22,39,2
16,32,2
35,8,1
39,42,2
43,15,2
15,27,2
27,22,2
45,42,2
30,21,2
23,50,2
30,40,2
28,8,1
24,1,1
11,46,2
18,23,2
38,14,2
43,26,2
44,19,2
33,26,2
8,7,1
45,25,2
26,4,1
0,33,1
27,29,2
28,40,2
11,28,2
3,32,1
8,14,1
38,31,2
35,44,2
9,2,1
8,14,1
16,38,2
17,1,1
29,0,1
48,48,2
24,30,2
48,42,2
1,38,1
14,44,2
15,5,1
17,22,2
4,5,1
43,18,2
47,19,2
42,16,2
41,24,2
13,35,2
7,6,1
37,45,2
13,16,2
47,3,1
41,32,2
24,44,2
13,50,2
10,25,1
20,31,2
40,11,2
1,4,1
12,20,2
7,8,1
16,8,1
7,27,1
35,11,2
9,38,1
11,28,2
20,41,2
39,17,2
7,29,1
4,50,2
40,12,2
47,19,2
47,44,2
40,35,2
36,20,2
24,16,2
24,7,1
34,48,2
33,27,2
4,44,1
25,15,2
21,9,1
16,43,2
8,1,1
29,0,1
2,46,1
5,25,1
18,43,2
12,23,2
5,26,1
33,2,1
30,30,2
17,47,2
38,1,1
32,28,2
26,36,2
14,35,2
33,8,1
22,1,1
49,1,1
38,39,2
41,17,2
32,32,2
23,45,2
32,26,2
39,8,1
3,46,1
5,38,1
2,44,1
27,9,1
33,34,2
24,18,2
27,45,2
27,28,2
48,35,2
27,38,2
40,44,2
5,12,1
23,24,2
33,33,2
39,34,2
30,14,2
41,40,2
16,28,2
32,32,2
47,33,2
28,50,2
45,37,2
1,27,1
4,45,1
29,8,1
13,22,2
17,29,2
39,5,1
41,18,2
22,15,2
40,20,2
6,7,1
7,25,1
21,0,1
5,0,1
25,47,2
50,44,2
1,27,1
1,27,1
22,13,2
41,4,1
31,9,1
22,41,2
1,47,1
26,47,2
14,38,2
49,8,2
29,46,2
27,21,2
15,17,2
21,0,1
37,49,2
4,42,1
41,44,2
17,43,2
10,27,1
7,11,1
6,13,1
6,22,1
27,9,1
8,47,2
19,13,2
47,35,2
28,3,1
7,20,1
36,8,1
26,42,2
25,41,2
41,48,2
38,44,2
44,12,2
48,19,2
23,30,2
29,2,1
13,29,2
9,41,1
21,30,2
39,37,2
3,41,1
2,18,1
40,16,2
16,35,2
33,47,2
34,34,2
28,16,2
19,35,2
36,4,1
24,3,1
0,25,1
46,13,2
26,39,2
43,21,2
44,39,2
5,2,1
23,31,2
18,19,2
11,39,2
26,26,2
28,38,2
46,34,2
16,2,1
41,4,1
33,17,2
0,29,1
12,12,2
13,42,2
39,43,2
47,41,2
39,45,2
40,34,2
44,20,2
4,42,1
39,8,1
47,19,2
44,31,2
29,11,2
17,38,2
5,12,1
10,21,1
4,13,1
35,30,2
12,23,2
0,6,1
23,45,2
50,42,2
38,17,2
20,20,2
23,7,1
49,47,2
50,25,2
42,9,2
0,22,1
32,17,2
36,20,2
4,29,1
50,24,2
43,44,2
34,24,2
3,1,1
45,21,2
9,29,1
39,47,2
15,50,2
49,13,2
39,14,2
17,30,2
49,14,2
0,30,1
40,47,2
41,25,2
27,15,2
49,49,2
12,22,2
36,23,2
50,11,2
28,38,2
12,46,2
28,37,2
4,50,2
49,7,2
15,14,2
21,7,1
11,4,1
18,45,2
18,48,2
48,29,2
28,47,2
22,4,1
43,40,2
31,0,1
41,33,2
31,5,1
30,31,2
12,14,2
6,2,1
36,8,1
32,49,2
14,49,2
10,38,1
31,0,1
41,47,2
45,26,2
29,26,2
36,30,2
6,26,1
44,32,2
17,39,2
22,49,2
1,14,1
25,27,2
34,8,1
47,37,2
48,25,2
19,9,1
6,0,1
36,18,2
8,43,2
1,47,1
37,44,2
36,31,2
40,36,2
35,45,2
37,42,2
13,17,2
29,30,2
15,8,1
2,43,1
22,20,2
39,19,2
46,8,2
18,10,1
11,11,2
3,49,2
1,5,1
41,9,1
28,42,2
10,37,1
49,5,2
14,45,2
43,7,1
20,38,2
23,26,2
23,27,2
42,1,1
21,32,2
21,9,1
30,7,1
22,24,2
22,4,1
15,10,1
30,41,2
38,29,2
38,15,2
18,15,2
50,21,2
42,44,2
17,0,1
7,45,2
50,25,2
33,26,2
43,36,2
23,13,2
34,43,2
5,47,2
26,18,2
42,19,2
5,31,1
35,34,2
50,19,2
41,16,2
20,30,2
3,26,1
27,2,1
4,23,1
35,21,2
1,27,1
36,1,1
21,10,1
28,28,2
10,36,1
45,24,2
0,50,1
37,48,2
44,22,2
38,32,2
37,2,1
29,7,1
26,31,2
5,17,1
31,23,2
19,49,2
46,39,2
14,45,2
8,5,1
